Date,MarketPrice,Simulated_1Y_RollingVol,Simulated_2Y_RollingVol
2024-10-18,979.16,1000.7989580983458,989.4939642733762
2024-10-21,976.84,982.3661715832299,994.1795161171302
2024-10-22,973.13,995.4522989301108,987.2572302455973
2024-10-23,974.09,984.7920606943902,969.33172851582
2024-10-24,970.19,972.0454613918631,981.7628655096637
2024-10-25,973.2,986.0540609556637,985.2801134689939
2024-10-28,975.16,996.1517610041383,993.7243184121502
2024-10-29,975.56,975.19657822078,989.8684805690376
2024-10-30,971.33,980.756328176522,978.4092062395454
2024-10-31,967.53,976.3043777508516,978.8326252113103
2024-11-01,974.52,972.9146740251896,981.1683111470649
2024-11-04,974.63,974.4243521318224,975.2001740011226
2024-11-05,978.78,1011.8649827539996,992.5612538250357
2024-11-06,976.26,977.6610458956268,996.0882104456078
2024-11-07,986.27,994.9246627253526,988.6640358901101
2024-11-08,977.11,979.3045489978487,988.2227223537052
2024-11-11,982.1,990.6762133019521,993.5948169292097
2024-11-12,971.49,975.0428185765154,974.9758544040907
2024-11-13,972.91,965.4282133991542,988.1946056427445
2024-11-14,982.32,977.4811929369719,987.7829792976052
2024-11-15,984.45,991.8868839019167,979.6116395969221
2024-11-18,979.85,979.6051978656354,983.3639668053974
2024-11-19,961.79,957.3142702442431,972.7046307035354
2024-11-20,959.93,960.7549302572249,964.422654347641
2024-11-21,959.23,975.4628511714594,974.4032560373798
2024-11-22,962.32,975.3440967878369,968.4119619082265
2024-11-25,972.22,964.9718912029313,965.9144563346193
2024-11-26,970.11,961.603066528318,974.0818246587274
2024-11-27,971.7,973.5759073060797,985.0710440755363
2024-11-28,974.71,974.3184956101529,970.3866915113334
2024-11-29,980.84,985.0663497637503,982.7454155530065
2024-12-02,986.07,990.3989001348755,985.499089464725
2024-12-03,990.3,972.8830873355403,978.9167290378896
2024-12-04,994.81,988.8372355198302,999.0934943521626
2024-12-05,995.32,984.6618479964712,1006.4421693908236
2024-12-06,997.48,992.6658581123843,1001.2856807313084
2024-12-09,996.64,1003.7472564089696,1001.4791213217896
2024-12-10,995.39,994.2450129596456,998.6272223640515
2024-12-11,998.77,977.4264481412478,1010.4471279802336
2024-12-12,994.78,995.9872923348498,1001.8935398252041
2024-12-13,991.51,1002.2439284260103,1005.787795425153
2024-12-16,990.87,987.7666971240346,981.9595384520296
2024-12-17,994.9,999.4246752517785,1008.9005906333222
2024-12-18,997.12,1000.550421121222,1000.1750430345996
2024-12-19,989.68,982.755681692877,996.2973012060199
2024-12-20,990.22,995.233339673474,993.8020171973521
2024-12-23,988.59,991.8494444549759,986.4310660334502
2024-12-27,990.58,989.9641560202114,1006.440519149883
2024-12-30,991.1,987.4357989634796,990.1321182573
2025-01-02,988.79,984.1298368215007,986.468920604164
2025-01-03,985.36,997.5397738938059,998.4202074546629
2025-01-06,995.07,990.6659028146984,1003.9202938839722
2025-01-07,996.97,1002.067614778163,1002.111348830275
2025-01-08,998.01,997.0821229778653,1013.9251163229121
2025-01-09,999.81,1001.3330417280596,1000.8789640593209
2025-01-10,996.12,997.5324721956441,1002.5107339536347
2025-01-13,995.73,999.9228691195414,999.5831661966799
2025-01-14,997.05,992.9766320142667,1007.4116963060043
2025-01-15,1000.54,1004.0750647227196,993.9352188865385
2025-01-16,999.2,997.6034774197893,988.2923896165428
2025-01-17,1007.24,1003.5967634792752,1002.7379724020108
2025-01-20,1007.17,1006.2670256473921,1013.4685785673774
2025-01-21,1009.71,1004.3280276444668,1015.5998373275598
2025-01-22,1013.86,1006.4890464782133,1019.7027150193338
2025-01-23,1015.67,1012.3924087191928,1012.3705009825252
2025-01-24,1015.64,1018.9948199004122,1014.0477340537395
2025-01-27,1006.45,1004.182745805953,1008.7385536320317
2025-01-28,1006.49,1006.7020708388259,1008.6817519264757
2025-01-29,1011.41,1002.2422492313739,1010.1465812249983
2025-01-30,1013.1,1011.6824221151594,1020.5471272530116
2025-01-31,1015.22,1012.5157889771941,1023.695626256742
2025-02-03,1011.74,1011.4819145588572,995.2149456685606
2025-02-04,1011.87,1010.8262896758745,1005.7988267969403
2025-02-05,1009.24,996.3672478841942,1008.7635575803072
2025-02-06,1016.68,1015.7330203983408,1004.0394924512655
2025-02-07,1014.02,1014.3271728780591,1008.1721875127238
2025-02-10,1019.1,1011.9264194436932,1027.0647543856203
2025-02-11,1022.89,1015.8803633415765,1010.2435549194498
2025-02-12,1023.39,1016.7614420614084,1020.8603473250998
2025-02-13,1034.23,1024.6260783465546,1025.0860168353363
2025-02-14,1036.68,1020.5334873973814,1029.497962074255
2025-02-17,1037.93,1021.7107298497286,1026.0233984661916
2025-02-18,1038.49,1035.2671896450381,1030.9736387918958
2025-02-19,1035.25,1026.6485107527797,1016.8333121934235
2025-02-20,1034.27,1015.2426876609695,1020.5824098016717
2025-02-21,1033.69,1025.570088774403,1023.7799945736764
2025-02-24,1031.45,1019.8449898343167,1022.251589878979
2025-02-25,1032.58,1011.9669040787127,998.1435179210952
2025-02-26,1037.77,1021.0735645896464,1026.3971590215376
2025-02-27,1035.31,1020.3736949057334,1023.3431537284283
2025-02-28,1035.36,1018.6506530757259,1017.5413717955482
2025-03-03,1036.36,1024.236424830101,1031.4218215427352
2025-03-04,1026.09,1014.7658350848068,1005.8753203253414
2025-03-05,1036.15,1013.343281531746,1015.2231849731695
2025-03-06,1040.14,1012.661975806994,1019.4289745944534
2025-03-07,1037.04,1019.7081649454508,1016.0511587273994
2025-03-10,1031.36,1010.2503485321085,1009.2303151314436
2025-03-11,1027.81,994.1868110960231,1003.104200021223
2025-03-12,1029.72,1008.7805250685974,1002.0837365429667
2025-03-13,1032.19,1007.596156975435,1003.7168126148258
2025-03-14,1036.92,1001.2060994647729,1008.1613708443817
2025-03-17,1039.71,1018.5450940780663,1021.461869799318
2025-03-18,1042.21,1016.1484973809412,1019.5953366936625
2025-03-19,1041.95,1016.3227298760626,1016.5844729026863
2025-03-20,1042.34,1019.872696441561,1012.6627777349232
2025-03-21,1040.45,1009.8367235371685,1021.4875832462318
2025-03-24,1039.61,1008.6992601036147,1000.7944010951426
2025-03-25,1043.05,1010.1634988129589,1019.2746117850597
2025-03-26,1040.62,1002.9578720213552,999.3378532582591
2025-03-27,1038.78,1002.1892698642176,1010.4905563102785
2025-03-28,1037.03,1012.2202778511238,993.4965162178784
2025-03-31,1030.83,1010.3398013093419,994.6487309767582
2025-04-01,1035.21,999.7821498857516,1002.3137576612726
2025-04-02,1035.03,995.5988899908369,1008.7836961081869
2025-04-03,1009.19,988.3728836952497,974.1518117899578
2025-04-04,985.11,948.9910424704234,959.6742680424443
2025-04-07,963.41,939.8733765838944,926.2292121456586
2025-04-08,992.18,951.2245700756714,934.6799811847274
2025-04-09,975.34,920.2177289346347,917.0883274717263
2025-04-10,1001.86,953.6633413798576,952.404842181464
2025-04-11,982.01,914.847373302194,938.5900472969664
2025-04-14,998.76,945.2839361022316,946.7042267857206
2025-04-15,997.55,931.2203349709224,936.3897737019038
2025-04-16,998.21,936.9049424099017,932.007213259021
2025-04-17,1001.5,953.7022839346483,948.8826706465059
2025-04-22,1006.41,940.2505467548191,962.7891072864808
2025-04-23,1018.0,968.5644892381839,965.316278081854
2025-04-24,1022.82,975.6693289569564,971.5577806229028
2025-04-25,1029.35,967.9410102149038,957.4205626554287
2025-04-28,1027.6,985.0842738149612,980.6125175782468
2025-04-29,1023.93,981.7898398071151,974.8375725467878
2025-04-30,1023.74,985.646902810301,962.661494754307
2025-05-02,1034.63,990.4815133085256,979.0422575718302
2025-05-05,1035.99,983.511183186166,993.6089819609603
2025-05-06,1032.51,975.2509319873672,978.8373788852523
2025-05-07,1033.95,970.8461697697181,991.3984102440477
2025-05-08,1039.42,994.2110698919893,984.298707804883
2025-05-09,1040.86,990.2293030851248,1002.1080420085931
2025-05-12,1047.72,997.9170719032397,986.5360135184709
2025-05-13,1051.74,1001.8741607358555,986.3862428311818
2025-05-14,1052.28,1000.5966183514606,991.0768253481693
2025-05-15,1055.8,993.7095420483209,979.6084509484049
2025-05-16,1054.94,995.0777300344314,998.7409932738461
