Date,MarketPrice,Simulated_1Y_FixedVol,Simulated_2Y_FixedVol
2024-10-09,978.55,928.8569914779418,941.0588276873847
2024-10-10,975.45,948.502052637032,974.7109801389556
2024-10-11,977.42,943.2826774077603,953.1045018362997
2024-10-14,976.3,938.7079041059707,962.8119150016389
2024-10-15,974.92,918.3450611768798,958.7217233137944
2024-10-16,971.99,929.343277857054,950.4613590006238
2024-10-17,976.42,938.1162890813091,963.1284416642228
2024-10-18,979.16,932.3012021303938,962.8753531285389
2024-10-21,976.84,929.1861986308943,975.36636824565
2024-10-22,973.13,935.7971562346982,966.0236495866587
2024-10-23,974.09,908.9056771471724,935.185439487327
2024-10-24,970.19,912.8746463760214,957.835827499024
2024-10-25,973.2,922.4821237265752,949.6834469751744
2024-10-28,975.16,945.0148264954053,963.2291493353415
2024-10-29,975.56,910.8102417429702,955.0566284040325
